loan_amount_requested,loan_tenure_months,interest_rate_offered,cibil_score,debt_to_income_ratio,applicant_age,number_of_dependents,fraud_flag,loan_type_Car Loan,loan_type_Education Loan,loan_type_Home Loan,loan_type_Personal Loan,employment_status_Retired,employment_status_Salaried,employment_status_Self-Employed,employment_status_Student,employment_status_Unemployed,property_ownership_status_Owned,property_ownership_status_Rented,gender_Male,gender_Other
604000.0,12.0,11.66,714.0,3.17,28.0,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100000.0,240.0,13.62,667.0,0.0,44.0,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
324000.0,120.0,10.36,647.0,13.89,27.0,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
100000.0,36.0,14.14,624.0,2.51,50.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1164000.0,24.0,9.83,710.0,4.54,25.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
220000.0,36.0,8.71,768.0,14.16,46.0,1.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
475000.0,60.0,12.87,677.0,5.18,31.0,1.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
106000.0,120.0,10.22,723.0,11.17,42.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
768000.0,240.0,7.46,707.0,9.03,51.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
395000.0,12.0,8.33,696.0,0.0,40.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
256000.0,120.0,8.86,747.0,1.83,63.0,1.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
745000.0,12.0,9.78,619.0,0.0,61.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
100000.0,120.0,12.25,629.0,5.44,33.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
635000.0,240.0,11.62,673.0,3.05,55.0,3.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
100000.0,240.0,11.48,612.0,11.56,25.0,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
541000.0,12.0,11.86,656.0,5.7,64.0,4.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
526000.0,120.0,12.18,641.0,5.13,48.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
898000.0,240.0,10.18,683.0,6.19,54.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
582000.0,120.0,12.89,670.0,0.0,65.0,2.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1038000.0,12.0,10.23,669.0,1.04,29.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
444000.0,24.0,8.91,749.0,6.14,50.0,3.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
104000.0,120.0,12.62,743.0,7.16,45.0,4.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
210000.0,36.0,11.92,791.0,0.0,61.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
100000.0,360.0,12.16,660.0,16.99,59.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
336000.0,12.0,11.53,674.0,6.74,55.0,2.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
875000.0,120.0,10.81,677.0,0.0,59.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
